Name,sowInstructions,spaceInstructions,harvestInstructions,compatiblePlants,avoidInstructions,culinaryHints,culinaryPreservation,image,url
Mizuna,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 6 - 8 inches apart,Harvest in 35-50 days.,"Compatible with (can grow beside): Radish, lettuce",,"Leaves used raw, stir-fried, in soups. Young flowering stems can be cooked like broccoli.",,http://gardenate.com/image/136/thumb/150/150,http://gardenate.com/plant/Mizuna
Mint,Easy to grow. Grow in trays and plant out or start from cuttings. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 75°F. (Show °C/cm),Space plants: 12 inches apart,Harvest in 8-12 weeks. Cut leaves from top with scissors.,"Compatible with (can grow beside): Cabbages, Tomatoes",,Mint adds a fresh flavour if chopped and sprinkled over salads. And is traditionally used mixed with vinegar and sugar to make mint sauce for lamb.,,http://gardenate.com/image/135/thumb/150/150,http://gardenate.com/plant/Mint
Lettuce,"Easy to grow. Sow in garden, or start in seed trays and plant out in 4-6 weeks.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 8°C and 27°C. (Show °F/in)",Space plants: 20 - 30 cm apart,Harvest in 8-12 weeks.,"Compatible with (can grow beside): Carrots, Onions, Strawberries, Beets, Brassicas, Radish, Marigold, Borage, Chervil, Florence fennel, leeks.","Avoid growing close to: Parsley, Celery","Wash well, spin or shake dry and use in salads and sandwiches",,http://gardenate.com/image/31/thumb/150/150; http://gardenate.com/image/32/thumb/150/150,http://gardenate.com/plant/Lettuce
Lemon Balm,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 10 inches apart,Harvest in 8-10 weeks. Cut back tall stems to prevent flowering.,Compatible with (can grow beside): Good to attract bees,,"As a herb tea or added to fruit punch. Can be used to replace lemon, used sparingly, in desserts and with stewed fruit. Chop leaves into salad. Better used fresh than dried.",,http://gardenate.com/image/49/thumb/150/150,http://gardenate.com/plant/Lemon%2BBalm
Kale,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm)",Space plants: 20 - 39 inches apart,Harvest in 7-9 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, camomile)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry, mustard",Strong flavoured and nutritious vegetable. Wash well and chop finely then steam. A tomato or cheese sauce will mask the flavour if too strong.,,http://gardenate.com/image/155/thumb/150/150; http://gardenate.com/image/156/thumb/150/150; http://gardenate.com/image/90/thumb/150/150,http://gardenate.com/plant/Kale
Kohlrabi,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm),Space plants: 4 - 10 inches apart,Harvest in 7-10 weeks.,"Compatible with (can grow beside): Beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry, mustard","Use when young. Scrub well, cut off leaf stalks, roots and woody parts. Young ones do not need peeling. Can be grated raw for salads or cut in pieces and steam. Use in casseroles.",,http://gardenate.com/image/132/thumb/150/150,http://gardenate.com/plant/Kohlrabi
Leeks,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm)",Space plants: 4 - 8 inches apart,Harvest in 15-18 weeks. Loosen with a fork rather than pull by hand..,Compatible with (can grow beside): Carrots,,"Trim off the roots and any damaged leaves. Young ones can be used whole with some of the green leaves. Wash thoroughly as the earth tends to get inside. Chop and fry in butter (or olive oil) until tender. Can be added to casserole meals, allowing time to cook through. Leek and mushroom make a tasty combination for a tart filling.",,http://gardenate.com/image/41/thumb/150/150; http://gardenate.com/image/75/thumb/150/150,http://gardenate.com/plant/Leeks
Jerusalem Artichokes,"Easy to grow. Plant tubers about 5cm (1.5"") deep.. Best planted at soil temperatures between 46°F and 59°F. (Show °C/cm)",Space plants: 12 - 18 inches apart,Harvest in 15-20 weeks.,"Compatible with (can grow beside): Tomatoes, cucumbers",,"Scrape clean or peel (add a tsp of lemon or vinegar to the water to stop the tubers browning). Steam, boil, or use in artichoke soup (make with artichokes and some stock). Caution - because they contain 'resistent starch' Jerusalem Artichokes are a great promoter of flatulence in some individuals.",,http://gardenate.com/image/97/thumb/150/150,http://gardenate.com/plant/Jerusalem%2BArtichokes
Daikon,Easy to grow. Direct in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 6 inches apart,Harvest in 8-10 weeks. Dig daikon carefully. They are rather brittle..,"Compatible with (can grow beside): Chervil, cress,lettuce, leeks, spinach, strawberries, tomatoes","Avoid growing close to: Gherkins, hyssop","Daikon radish can be eaten simmered, stir fried, grated, pickled or baked. Its leaves are also edible and can be used in recipes that call for turnip greens, and its seeds make sprouts to eat in salads or in sandwiches.",,http://gardenate.com/image/122/thumb/150/150,http://gardenate.com/plant/Daikon
Dill,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 6 inches apart,Harvest in 8-12 weeks. Use leaves before flowering.,"Compatible with (can grow beside): Cabbage, Coriander, Fennel, tomatoes, broccoli",,"Dill leaves can be used fresh or dried in salads, meats, vegetable dishes and soups. Freshly cut leaves enhance the flavour of dips, herb butter, soups, salads, fish dishes, and salads. Both the flowering heads and seeds are used in flavoured vinegars and oils. Used whole or ground, the seeds add zest to bread, cheese, and salad dressing.",,http://gardenate.com/image/131/thumb/150/150,http://gardenate.com/plant/Dill
Endive,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59°F and 77°F. (Show °C/cm),Space plants: 8 - 12 inches apart,Harvest in 10-11 weeks.,"Compatible with (can grow beside): beans, brassicas, carrots, cucumbers, chervil, sage.",Avoid growing close to: Alliums (garlic and onions),"Very tasty topped with grated swiss cheese and grilled for a couple of minutes to crisp up the cheese and wilt the leaves. Can use in salads additional to lettuce, but needs a flavoursome dressing if you aren't overly fond of bitterness.",,http://gardenate.com/image/148/thumb/150/150,http://gardenate.com/plant/Endive
Fennel,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: Thin to 12 inches,Harvest in 14-15 weeks.,Compatible with (can grow beside): Best grown away from vegetables,,Cut off leaves as required Use leaves fresh or dried . Particularly good with fish. The seeds can be used in pickling mixes.,,http://gardenate.com/image/50/thumb/150/150,http://gardenate.com/plant/Fennel
Garlic,Easy to grow. Plant cloves. Best planted at soil temperatures between 50°F and 95°F. (Show °C/cm),Space plants: 4 - 5 inches apart,Harvest in 17-25 weeks.,"Compatible with (can grow beside): Beets, Carrots, Cucumbers, Dill, Tomatoes, Parsnips","Avoid growing close to: Asparagus, Beans, Brassicas, Peas, Potatoes",Cut the growing shoots or use the entire young garlic plants as 'garlic greens' in stirfry.,,http://gardenate.com/image/72/thumb/150/150; http://gardenate.com/image/73/thumb/150/150; http://gardenate.com/image/91/thumb/150/150,http://gardenate.com/plant/Garlic
Horseradish,Easy to grow. Plant root pieces. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 20 inches apart,Harvest in 16-24 weeks. Some improvement in flavour if left till after frost..,Compatible with (can grow beside): Best kept separate,,"Strong, spicy flavour traditionally used with roast beef. Used grated for horseradish sauce or horseradish cream",,http://gardenate.com/image/123/thumb/150/150,http://gardenate.com/plant/Horseradish
Yacon,Easy to grow. Plant sprouting root/tuber to a depth of about 4cm and mulch to cover. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 39 inches apart,Harvest in approximately 25 weeks. You can collect a few at a time without digging out the whole plant..,Compatible with (can grow beside): Best in separate bed,,"The large roots can be used raw in salads peel and chop. Sprinkle with lemon juice to prevent browning. 'In the Andes, they are grated and squeezed through a cloth to yield a sweet refreshing drink. The juice can also be boiled down to produce a syrup. In South America the juice is concentrated to form dark brown blocks of sugar called chancaca.' (Green Harvest)",,http://gardenate.com/image/2/thumb/150/150,http://gardenate.com/plant/Yacon
Turnip,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 12°C and 30°C. (Show °F/in),Space plants: 12 - 20 cm apart,Harvest in 6-9 weeks.,"Compatible with (can grow beside): Peas, Beans, Chives, Spinach, Carrots, Chicory","Avoid growing close to: Potatoes, Tomatoes",Grate young turnips and use raw in salads. Use older turnips in casseroles and stews.,,http://gardenate.com/image/146/thumb/150/150,http://gardenate.com/plant/Turnip
Tomatillo,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 81°F. (Show °C/cm)",Space plants: 28 inches apart,Harvest in 10-14 weeks. Husk splits when fruit is ripe..,Compatible with (can grow beside): Will happily grow in a flower border,,Use in spicy sauces with or to replace tomatoes. They are the base of salsa verde in Mexican cookery.,,http://gardenate.com/image/79/thumb/150/150,http://gardenate.com/plant/Tomatillo
Strawberry Plants,Easy to grow. Plant with crown (of roots) just covered.. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 12 - 39 inches apart,"Harvest in approximately 11 weeks. Strawberries bruise easily when ripe, handle carefully. Pick with a small piece of stem attached..",Compatible with (can grow beside): Better in a bed on their own to allow good sun and air circulation,"Avoid growing close to: If you are using rotation beds, avoid putting strawberries where you have grown tomatoes, potatoes, peppers or eggplant","Pick strawberries and eat them straight from the garden - warm from the sunshine, delicious! Strawberries can be used in any dessert needing soft fruit or berries. Summer pudding which also has raspberries and blackberries or boysenberries, mousse, trifle, dipped in melted chocolate or just with cream. Sprinkle a bowl of strawberries with balsamic vinegar and a little sugar to enhance the flavour and colour.",,http://gardenate.com/image/150/thumb/150/150; http://gardenate.com/image/145/thumb/150/150,http://gardenate.com/plant/Strawberry%2BPlants
Spring onions,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: close together,Harvest in 8-12 weeks.,"Compatible with (can grow beside): Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Avoid growing close to: Peas, Beans",Can be eaten raw in salads. Often used chopped and sprinkled on Asian stir-fry.,,http://gardenate.com/image/143/thumb/150/150,http://gardenate.com/plant/Spring%2Bonions
Spinach,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 8 - 12 inches apart,Harvest in 5-11 weeks.,"Compatible with (can grow beside): Broad beans (fava), cabbage, cauliflower, celery, eggplant (aubergine), onion, peas, strawberry, santolina",,Use young leaves in salad. Steam and add to other vegetables.,,http://gardenate.com/image/87/thumb/150/150; http://gardenate.com/image/88/thumb/150/150,http://gardenate.com/plant/Spinach
Snow Peas,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 68°F. (Show °C/cm),Space plants: 3 - 4 inches apart,Harvest in 12-14 weeks.,"Compatible with (can grow beside): Carrots, Endive, Florence fennel, Winter lettuce, Brassicas.","Avoid growing close to: Chives, Alliums, Tomatoes",Cook whole or eat raw in salads,,,http://gardenate.com/plant/Snow%2BPeas
Silverbeet,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 6 - 12 inches apart,Harvest in 7-12 weeks.,"Compatible with (can grow beside): Beans, brassica sp. (cabbage, cauliflower, etc), tomato, allium sp. (onion, garlic, chives), lavender, parsnip","Avoid growing close to: Corn, melon, cucurbit (cucumbers, squash, melons, gourds), most herbs, potato.",Wash thoroughly and inspect the back of the leaves for insects. Chop and put in a saucepan with very little water ( or just what is on the leaves). Cover and cook over a low to medium heat until the leaves collapse. A small amount of nutmeg enhances the flavour.,,http://gardenate.com/image/98/thumb/150/150; http://gardenate.com/image/70/thumb/150/150,http://gardenate.com/plant/Silverbeet
Shallots,"Easy to grow. Plant small bulblets, with stem just showing above ground. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm)",Space plants: 6 - 8 inches apart,Harvest in 12-15 weeks. Keep a few for your next planting.,"Compatible with (can grow beside): Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Avoid growing close to: Peas, Beans","Use in any recipe instead of onions. Can be cooked whole, braised gently with other vegetables.",Can be pickled.,,http://gardenate.com/plant/Shallots
Savory ,Easy to grow. Start in trays. Cover seed lightly.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 86°F. (Show °C/cm),Space plants: 12 - 16 inches apart,Harvest in 6-10 weeks. Use the leaves fresh..,Compatible with (can grow beside): Beans,,Can be used as seasoning for beans and other green vegetables.,,http://gardenate.com/image/110/thumb/150/150,http://gardenate.com/plant/Savory%2B-%2Bwinter%2Bsavory
Savory ,Easy to grow. Sow in Garden. Lightly cover.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 86°F. (Show °C/cm),Space plants: 10 inches apart,Harvest in 6-10 weeks. Cut before flowers form for best flavour.,"Compatible with (can grow beside): Beans, Onions",,"Usually added to peas, beans or lentils. It has a slightly spicy flavour.",,,http://gardenate.com/plant/Savory%2B-%2Bsummer%2Bsavory
Radish,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm),Space plants: 1 - 2 inches apart,Harvest in 5-7 weeks.,"Compatible with (can grow beside): Chervil, cress,lettuce, leeks, spinach, strawberries, tomatoes","Avoid growing close to: Hyssop, gherkins",Wash well and remove leaves and roots. Use raw in salads or on their own with bread and butter.,,http://gardenate.com/image/117/thumb/150/150; http://gardenate.com/image/51/thumb/150/150,http://gardenate.com/plant/Radish
Rhubarb,Easy to grow. Plant pieces of rhizome or roots 8 - 10 cm (3 - 4 in.) deep. Best planted at soil temperatures between 41°F and 68°F. (Show °C/cm),Space plants: 35 inches apart,Harvest in approximately 1 years. You will have a stronger plant if you leave it for about a year before using..,"Compatible with (can grow beside): Brassicas (Cabbage, Broccoli, Cauliflower, etc)",,"Pick stems about the thickness of your finger. Large stems will have tough 'strings' down the length of them. Use in pies, crumbles, fools and jams. Rhubarb goes well with orange. Will usually need sweetener.",,http://gardenate.com/image/141/thumb/150/150,http://gardenate.com/plant/Rhubarb
Rocket,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 6 - 8 inches apart,Harvest in 21-35 days.,Compatible with (can grow beside): Lettuce,,Use in salads and stir-fry,,http://gardenate.com/image/164/thumb/150/150; http://gardenate.com/image/35/thumb/150/150,http://gardenate.com/plant/Rocket
Rosemary,Easy to grow. Plant cuttings . Best planted at soil temperatures between 59°F and 68°F. (Show °C/cm),Space plants: 39 - 59 inches apart,"Harvest in approximately 1 years. In warmer areas, harvest time might be shorter.","Compatible with (can grow beside): Beans, Carrots, Cabbages, Sage",Avoid growing close to: Potatoes,"Leaves sprinkled on roast potatoes, meat and barbeque food make them extra tasty. Rosemary can also be used to add flavour to vinegars and oils.",,http://gardenate.com/image/44/thumb/150/150,http://gardenate.com/plant/Rosemary
Rutabaga,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45°F and 77°F. (Show °C/cm),Space plants: 4 - 8 inches apart,Harvest in 10-14 weeks.,"Compatible with (can grow beside): Peas, Beans, Chives",Avoid growing close to: Potatoes,Use when about the size of a tennis ball. The leaves can be cooked like cabbage when young.,,,http://gardenate.com/plant/Rutabaga
Salsify,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 6 - 8 inches apart,Harvest in 14-21 weeks.,"Compatible with (can grow beside): Beans, Brassicas, Carrots, Celeriac, Endive, Kohl-rabi, Leeks, Lettuce, Alliums, Spinach",,Wash and scrape the roots then boil before frying or roasting. They can also be used to make a creamed soup.,,http://gardenate.com/image/142/thumb/150/150,http://gardenate.com/plant/Salsify
